Name,Notes,Address Short,City State Zip,Address Consolidated,Latitude,Longitude
2hunned Inc Nonprofit,3rd Friday 3pm - 6pm & 3rd Saturday 8am-11am,2028 E. El Segundo Blvd,"Compton, CA 90222, United States","2028 E. El Segundo Blvd Compton, CA 90222, United States",33.9159436,-118.2362831
A World With Compassion,2nd & 4th Saturday 12pm-3pm,2912 Guirado St,"Los Angeles, CA 90023, United States","2912 Guirado St Los Angeles, CA 90023, United States",34.0324539,-118.2072934
Aaron Community Cultural Center (ACCC),Tuesdays 10am-12pm,1010 W 108th Street #B,"Los Angeles, CA 90044, United States","1010 W 108th Street #B Los Angeles, CA 90044, United States",33.9379128,-118.29252
Abundant Blessings,Sunday-Saturday 9am - 12pm,2414 W. 48th St,"Los Angeles, CA 90043, United States","2414 W. 48th St Los Angeles, CA 90043, United States",33.9998775,-118.3198318
Adonai SDA Church,1st and 3rd Saturday 3pm-5pm,13246 Mapledale Street,"Norwalk, CA 90650, United States","13246 Mapledale Street Norwalk, CA 90650, United States",33.898381,-118.0484998
Adventures to Dreams Enrichment,3rd Friday 12pm-2pm,903 De Forest Ave,"Long Beach, CA 90813, United States","903 De Forest Ave Long Beach, CA 90813, United States",33.7774309,-118.2036404
"AfricActive Foundation, Inc.",Saturday 11am - 1pm,5036 Exposition Blvd,"Los Angeles, CA 90016, United States","5036 Exposition Blvd Los Angeles, CA 90016, United States",34.0243854,-118.3525417
Agape Community Church,Saturday 9:30am-10:30am,1722 E Lancaster Blvd,"Lancaster, CA 93535, United States","1722 E Lancaster Blvd Lancaster, CA 93535, United States",34.6960893,-118.0981484
All Nations Christian Fellowship,Saturdays 7am - 9am,5602 E. Gage Ave,"Bell Gardens, CA 90201, United States","5602 E. Gage Ave Bell Gardens, CA 90201, United States",33.9754377,-118.1648903
All Peoples Community Center,Friday 9:30am-12:30pm & 2nd & 4th Saturday 9:30am-12:30pm,822 E. 20th Street,"Los Angeles, CA 90011, United States","822 E. 20th Street Los Angeles, CA 90011, United States",34.0259008,-118.2564727
All Saints Conference,Bi-Weekly Saturday 9 - 11am,3431 Portola Avenue,"Los Angeles, CA 90032, United States","3431 Portola Avenue Los Angeles, CA 90032, United States",34.0856956,-118.1729503
Altadena S.D.A. Church,2nd and 4th Tuesday 9am - 12pm,2609 N. Lincoln Avenue,"Altadena, CA 91001, United States","2609 N. Lincoln Avenue Altadena, CA 91001, United States",34.1906504,-118.1587869
Altadena Street Closure,11/20/2025 | 9am - 12pm,2300 North Marengo Avenue,"Altadena, CA 91001, United States","2300 North Marengo Avenue Altadena, CA 91001, United States",34.1848173,-118.1439186
"Ananda Marga of L.A., Inc.",Friday 8:30am-10:30am,1245 S Norton Avenue,"Los Angeles, CA 90019, United States","1245 S Norton Avenue Los Angeles, CA 90019, United States",34.0483498,-118.32383
Ancon Club Los Angeles,2nd & 4th Saturday 10am-12pm,15307 Crenshaw Blvd,"Gardena, CA 90249, United States","15307 Crenshaw Blvd Gardena, CA 90249, United States",33.8921623,-118.3267772
Anointed To Minister Ministries,Friday 4pm - 6pm,169 W. Ave J - 5 #A,"Lancaster, CA 93534, United States","169 W. Ave J - 5 #A Lancaster, CA 93534, United States",34.6855142,-118.1323608
Answered Prayer Ministries,3rd Saturday 11am-3pm,6743 5th Ave,"Los Angeles, CA 90043, United States","6743 5th Ave Los Angeles, CA 90043, United States",33.9769677,-118.3228539
Antelope Valley Boys & Girls Club,Friday 10am-12pm,45404 Division St,"Lancaster, CA 93535, United States","45404 Division St Lancaster, CA 93535, United States",34.7071651,-118.1296214
Antelope Valley Partners for Health,2nd & 4th Friday 8 am - 11 am,858 W. Jackman Street,"Lancaster, CA 93534, United States","858 W. Jackman Street Lancaster, CA 93534, United States",34.7008519,-118.1465622
Arabic Evangelical Church,"1st and 3rd Sunday 1pm - 2pm, 1st and 3rd Friday 630pm 8pm",8109 Greenleaf Avenue,"Whittier, CA 90602, United States","8109 Greenleaf Avenue Whittier, CA 90602, United States",33.9666913,-118.0377675
Asian Youth Center,Tuesday & Thursday 8:30am-10:30am & 1st & 3rd Wednesday 8:30am-10:30am,100 Clary Avenue,"San Gabriel, CA 91776, United States","100 Clary Avenue San Gabriel, CA 91776, United States",34.0976005,-118.1002908
